P, 30x40, 60x80, 120x160
0.700000, 1.535000, 1.465000, 1.390000
0.705000, 1.655000, 1.452500, 1.405625
0.710000, 1.462500, 1.462500, 1.370000
0.715000, 1.490000, 1.398750, 1.348125
0.720000, 1.632500, 1.435000, 1.370625
0.725000, 1.425000, 1.408750, 1.323125
0.730000, 1.395000, 1.372500, 1.338750
0.735000, 1.420000, 1.356250, 1.307500
0.740000, 1.340000, 1.378750, 1.295000
0.745000, 1.462500, 1.311250, 1.272500
0.750000, 1.382500, 1.313750, 1.269375
0.755000, 1.370000, 1.350000, 1.272500
0.760000, 1.360000, 1.281250, 1.279375
0.765000, 1.347500, 1.276250, 1.248125
0.770000, 1.322500, 1.278750, 1.234375
0.775000, 1.335000, 1.272500, 1.244375
0.780000, 1.325000, 1.271250, 1.218125
0.785000, 1.280000, 1.252500, 1.209375
0.790000, 1.322500, 1.252500, 1.219375
0.795000, 1.282500, 1.240000, 1.198125
0.800000, 1.280000, 1.233750, 1.205000
0.805000, 1.265000, 1.242500, 1.197500
0.810000, 1.235000, 1.206250, 1.190625
0.815000, 1.247500, 1.218750, 1.171875
0.820000, 1.230000, 1.197500, 1.172500
0.825000, 1.210000, 1.190000, 1.163750
0.830000, 1.230000, 1.192500, 1.163125
0.835000, 1.197500, 1.181250, 1.155625
0.840000, 1.235000, 1.178750, 1.150625
0.845000, 1.200000, 1.176250, 1.140625
0.850000, 1.180000, 1.173750, 1.147500
0.855000, 1.185000, 1.158750, 1.137500
0.860000, 1.177500, 1.148750, 1.133125
0.865000, 1.202500, 1.143750, 1.126250
0.870000, 1.170000, 1.142500, 1.118125
0.875000, 1.152500, 1.137500, 1.117500
0.880000, 1.165000, 1.137500, 1.112500
0.885000, 1.147500, 1.128750, 1.102500
0.890000, 1.145000, 1.121250, 1.100000
0.895000, 1.137500, 1.113750, 1.101250
0.900000, 1.130000, 1.105000, 1.095625
0.905000, 1.142500, 1.108750, 1.091250
0.910000, 1.135000, 1.096250, 1.085625
0.915000, 1.125000, 1.092500, 1.080625
0.920000, 1.115000, 1.088750, 1.074375
0.925000, 1.112500, 1.088750, 1.073750
0.930000, 1.112500, 1.081250, 1.068125
0.935000, 1.100000, 1.076250, 1.065000
0.940000, 1.087500, 1.076250, 1.060000
0.945000, 1.080000, 1.066250, 1.056875
0.950000, 1.082500, 1.063750, 1.056250
0.955000, 1.082500, 1.066250, 1.048750
0.960000, 1.080000, 1.060000, 1.046250
0.965000, 1.070000, 1.051250, 1.038750
0.970000, 1.055000, 1.045000, 1.036250
0.975000, 1.050000, 1.040000, 1.033125
0.980000, 1.057500, 1.040000, 1.028750
0.985000, 1.045000, 1.030000, 1.023125
0.990000, 1.032500, 1.026250, 1.020000
0.995000, 1.030000, 1.017500, 1.013750
